user_page,url,likes,page_name
RayDuEnglish,https://www.facebook.com/RayDuEnglish/,"579,295",阿滴英文
SetfireYC,https://www.facebook.com/SetfireYC/ ,"807,829",放火 Louis
WithGaLoveTaiwan,https://www.facebook.com/WithGaLoveTaiwan/,"1,650,681",蔡阿嘎
KingJasperHu,https://www.facebook.com/KingJasperHu/,"686,354",Jasper 星培
newmika0529,https://www.facebook.com/newmika0529/,"26,578",Mika球球
howfunofficial,https://www.facebook.com/howfunofficial/,"357,889",How Fun 如何爽
RSPannie72127.tw,https://www.facebook.com/RSPannie72127.tw/,"334,633",魚乾 Annie
ZyNXyZ,https://www.facebook.com/ZyNXyZ/,"412,354",菜喳
tpijade,https://www.facebook.com/tpijade/,"278,961",小玉 Xiaoyu
ShenJieShiSaint,https://www.facebook.com/ShenJieShiSaint/,"685,484",聖結石 Saint
fanslingin,https://www.facebook.com/fanslingin/,"1,513,713",林進 飛醺卑鄙 fashion baby
dream76843,https://www.facebook.com/dream76843/,"1,479,563",小A辣
canoemann,https://www.facebook.com/canoemann/,"747,374",張吉吟 - 泛舟哥
1006nk,https://www.facebook.com/1006nk/,"2,360,961",Nico品筠&Kim京燁 【那對夫妻】
etman0909,https://www.facebook.com/etman0909/,"1,203,711",眾量級 CROWD
thisgroupofpeople,https://www.facebook.com/thisgroupofpeople/,"1,885,497",這群人 TGOP
hanhanpovideo,https://www.facebook.com/hanhanpovideo/,"607,633",阿翰po影片
SexyBabyMiMi666,https://www.facebook.com/SexyBabyMiMi666/,"51,365",性感寶貝 咪咪
ElvisHuo,https://www.facebook.com/ElvisHuo/,"379,259",田亞霍-Elvis
firebrycen,https://www.facebook.com/firebrycen/,"187,208",柏翰 Brycen
BaiChiGongZhu,https://www.facebook.com/BaiChiGongZhu/,"1,013,221",白癡公主
835211536568646,https://www.facebook.com/%E9%83%AD%E9%83%81%E6%89%BF-835211536568646/,"196,720",郭郁承
1471772763091863,https://www.facebook.com/%E9%A3%86%E6%8D%8D-1471772763091863/,"607,950",飆捍
boonhuilumusic,https://www.facebook.com/boonhuilumusic/,"293,473",Boon Hui Lu 文慧如
ili19930831official,https://www.facebook.com/ili19930831official/,"452,967",雞排妹ili鄭家純
mira630,https://www.facebook.com/mira630/,"370,403",潔哥/李秉潔
godtone3be0,https://www.facebook.com/godtone3be0/,"266,967",亞洲統神-張嘉航
amogood,https://www.facebook.com/amogood/,"2,402,066",谷阿莫 AmoGood
loserZUUN,https://www.facebook.com/loserZUUN/,"375,364",人生肥宅x尊
anjoupikachu,https://www.facebook.com/anjoupikachu/,"468,660",安啾 Anjou
TaiwanBlack,https://www.facebook.com/TaiwanBlack/,"1,401,445",黑男
MiharaKeigo,https://www.facebook.com/MiharaKeigo/,"313,075",三原慧悟 Mihara Keigo
Dulcieku,https://www.facebook.com/Dulcieku/,"359,917",古娃娃WawaKu
Mrs.saintdodo,https://www.facebook.com/Mrs.saintdodo/,"520,103",聖嫂 Dodo
2uncle,https://www.facebook.com/2uncle/,"148,539",嘎嫂二伯人妻日記
OLDTIEN0507,https://www.facebook.com/OLDTIEN0507/,"239,192",老田
Panhu.Fans,https://www.facebook.com/Panhu.Fans/,"231,216",胖虎 陳睿纁
littlemxiao,https://www.facebook.com/littlemxiao/,"245,099",蕭小M
eatzz7,https://www.facebook.com/eatzz7/,"226,111",紀卜心Kimi。
You.Son.Father,https://www.facebook.com/You.Son.Father/,"496,665",老王
taiwanlianhuanpao,https://www.facebook.com/taiwanlianhuanpao/,"891,822",連環泡有芒果
crazyrightnow,https://www.facebook.com/crazyrightnow/,"1,824,940",在不瘋狂就等死
cwwany.tw,https://www.facebook.com/cwwany.tw/,"686,528",Wan Wan彎彎
lovetingting520,https://www.facebook.com/lovetingting520/,"65,944",【法拉利姐】張婷婷
me59cc,https://www.facebook.com/me59cc/,"346,478",楊巧愛
PriscillaAbbyChai,https://www.facebook.com/PriscillaAbbyChai/,"527,260",Priscilla Abby 蔡恩雨
ZhongMingXuan,https://www.facebook.com/ZhongMingXuan/,"579,665",煎熬弟 鍾明軒
arieltsaimusic,https://www.facebook.com/arieltsaimusic/,"438,666",蔡佩軒 Ariel Tsai
